user_id,final_utility_score,recharge_consistency_score,digital_spend_index,stability_score,psychometric_score,has_defaulted
1,10.0,0.9166666666666666,49.39,10,0.8,0
2,10.0,0.8333333333333334,46.224,10,0.6,0
3,10.0,1.0,19.381999999999998,10,0.8,0
4,5.5,0.8333333333333334,12.296,3,0.4,1
5,10.0,0.9166666666666666,78.13600000000001,10,1.0,0
6,8.5,0.9166666666666666,9.208,8,0.0,1
7,5.5,0.6666666666666666,5.238,3,0.2,1
8,10.0,0.8333333333333334,31.494,10,1.0,0
9,10.0,0.8333333333333334,30.688,10,1.0,0
10,10.0,0.8333333333333334,37.616,10,1.0,0
11,10.0,1.0,45.056000000000004,10,0.6,0
12,10.0,0.9166666666666666,34.742,10,0.8,0
13,10.0,0.9166666666666666,61.236000000000004,10,0.6,0
14,10.0,0.8333333333333334,16.308,10,0.6,0
15,10.0,0.8333333333333334,22.936,10,0.8,0
16,10.0,0.9166666666666666,60.696000000000005,10,0.8,0
17,4.5,0.6666666666666666,10.498000000000001,5,0.0,1
18,10.0,0.8333333333333334,53.54,10,0.8,0
19,10.0,1.0,52.75,10,0.8,0
20,8.0,0.75,14.655999999999999,5,0.4,1
21,10.0,0.8333333333333334,53.554,10,0.8,0
22,10.0,1.0,77.106,10,1.0,0
23,10.0,0.9166666666666666,34.324,10,0.8,0
24,7.5,0.5,10.414,0,0.2,1
25,10.0,1.0,74.09599999999999,10,1.0,0
26,10.0,1.0,45.134,10,0.6,0
27,10.0,1.0,19.346,10,0.6,0
28,10.0,1.0,40.562,10,1.0,0
29,6.5,0.5,3.6540000000000004,0,0.0,1
30,10.0,0.9166666666666666,50.556,10,1.0,0
31,10.0,0.9166666666666666,33.266,10,0.8,0
32,10.0,0.8333333333333334,68.84400000000001,10,1.0,0
33,10.0,1.0,68.07,10,1.0,0
34,10.0,1.0,31.696,10,1.0,0
35,10.0,0.8333333333333334,17.598,10,1.0,0
36,10.0,0.9166666666666666,55.69,10,0.6,0
37,10.0,0.9166666666666666,46.302,10,0.6,0
38,10.0,1.0,29.182000000000002,10,0.6,0
39,10.0,0.9166666666666666,55.708,10,0.8,0
40,10.0,0.9166666666666666,36.924,10,0.6,0
41,10.0,1.0,27.448,10,0.8,0
42,6.0,0.5833333333333334,11.366,10,0.4,1
43,10.0,0.9166666666666666,63.23800000000001,10,0.6,0
44,7.0,0.4166666666666667,15.936,0,0.2,1
45,10.0,0.9166666666666666,31.584,10,0.8,0
46,10.0,1.0,55.998000000000005,10,0.8,0
47,10.0,1.0,37.688,10,0.6,0
48,10.0,1.0,73.83,10,0.6,0
49,10.0,0.8333333333333334,51.62799999999999,10,0.6,0
50,4.5,0.75,12.594,2,0.2,1
51,4.0,0.8333333333333334,13.088,5,0.2,1
52,10.0,1.0,78.07,10,0.8,0
53,10.0,0.9166666666666666,34.342,10,0.8,0
54,10.0,0.8333333333333334,18.895999999999997,10,1.0,0
55,10.0,1.0,26.958,10,1.0,0
56,10.0,0.9166666666666666,28.683999999999997,10,0.6,0
57,10.0,0.8333333333333334,20.966,10,1.0,0
58,10.0,0.9166666666666666,35.486000000000004,10,0.8,0
